full_name,url,language,stars,created_at,days_inactive,lot,code_churn_normalized,pr_merge_time_median_h,issues_resolution_time_h,active_contributors,bus_factor_ratio,pr_count_merged,comment_per_pr_avg,closed_issues,review_cycle_count,has_ci,ci_success_rate,has_tests,weighted_experience,commit_velocity_trend,release_regularity,weekend_commit_ratio,dependency_count,language_diversity,avg_file_size_loc,total_commits,net_loc,churn_loc,active_days,churn_hours,cycle_time_hours,cocomo_pm,cocomo_hours,effort_target,reliability_score,project_age_days
localstack/localstack,https://github.com/localstack/localstack,Python,64878,2016-10-25 23:48:03+00:00,32,1,172.03,1.3127777777777778,654.5177777777778,424,0.214,77,0.0,1,1.0,1,0.98,1,11.567,-3.7762,16.84,0.02,218,0.0092,0.0,7391,369550,591280,3695,39418.7,556.6,1191.98,190716.4,58019.6,85.2,3437
unclecode/crawl4ai,https://github.com/unclecode/crawl4ai,Python,64545,2024-05-09 09:48:50+00:00,0,1,162.68,73.28666666666666,59.45472222222222,71,0.6694,41,0.0,1,1.5,1,1.0,1,10.527,-2.2832,22.11,0.44,13,0.0122,0.0,1458,72900,116640,729,7776.0,5203.4,216.81,34689.3,12386.9,83.3,717
keras-team/keras,https://github.com/keras-team/keras,Python,64035,2015-03-28 00:35:42+00:00,0,1,213.99,5.480416666666667,98.43166666666669,407,0.3614,66,0.0,1,2.0,1,0.56,0,13.978,0.3217,23.4,0.03,11,0.0001,0.0,10825,541250,866000,5412,57733.3,2230.5,1779.42,284707.6,86477.3,81.4,4047
bytedance/deer-flow,https://github.com/bytedance/deer-flow,Python,63670,2025-05-07 02:50:19+00:00,0,1,420.56,14.679444444444444,8.381944444444445,232,0.3272,63,0.0,1,2.0,1,0.86,0,10.424,-8.0944,0.0,0.3,0,0.3003,0.0,1861,93050,148880,930,9925.3,3405.6,280.13,44821.2,14948.6,81.7,354
pathwaycom/pathway,https://github.com/pathwaycom/pathway,Python,63419,2022-11-27 13:01:14+00:00,0,1,120.19,73.45680555555555,410.2198611111111,37,0.3771,22,0.0,1,1.0,1,0.56,1,6.623,-0.2657,10.87,0.14,95,0.3381,0.0,1872,93600,149760,936,9984.0,2717.9,281.87,45099.4,14827.2,86.2,1246
openinterpreter/open-interpreter,https://github.com/openinterpreter/open-interpreter,Python,63298,2023-07-14 07:10:44+00:00,2,1,242.6,10.445,64.98805555555555,123,0.7433,51,0.0,1,2.0,1,0.64,1,6.897,0.0315,15.67,0.09,60,0.0154,0.0,3078,153900,246240,1539,16416.0,1284.7,570.16,91224.8,26838.4,82.4,1015
unslothai/unsloth,https://github.com/unslothai/unsloth,Python,62863,2023-11-29 16:50:09+00:00,0,1,455.24,0.7291666666666666,22.50777777777778,164,0.6148,15,0.0,1,2.0,1,0.98,1,7.722,-15.3427,15.28,0.02,1934,0.3538,0.0,5002,250100,400160,2501,26677.3,119.6,791.1,126575.8,38689.7,83.9,879
Z4nzu/hackingtool,https://github.com/Z4nzu/hackingtool,Python,62249,2020-04-11 09:21:31+00:00,40,1,11.89,38.09986111111111,770.6054166666667,36,0.3758,50,0.0,1,1.5,1,0.3793,0,9.461,0.0035,0.0,0.26,4,0.0465,0.0,322,16100,25760,161,1717.3,1371.6,44.4,7103.9,2690.9,67.7,2166
Asabeneh/30-Days-Of-Python,https://github.com/Asabeneh/30-Days-Of-Python,Python,61605,2019-11-19 17:24:16+00:00,20,1,24.24,5.876666666666667,2018.0783333333327,80,0.6346,39,0.0,1,1.0,1,1.0,0,10.299,0.8322,0.0,0.43,0,0.0498,0.0,706,35300,56480,353,3765.3,470.1,101.25,16199.2,5263.5,72.6,2330
scrapy/scrapy,https://github.com/scrapy/scrapy,Python,61445,2010-02-22 02:01:14+00:00,0,1,137.26,7.36375,60.95916666666667,373,0.2119,52,0.0,1,1.0,1,0.48,1,16.146,0.4126,62.31,0.01,236,0.0053,0.0,10135,506750,810800,5067,54053.3,2746.7,1660.52,265683.6,80987.4,87.9,5907
