stars,days_inactive,code_churn_normalized,pr_merge_time_median_h,issues_resolution_time_h,active_contributors,bus_factor_ratio,pr_count_merged,review_cycle_count,has_ci,ci_success_rate,has_tests,weighted_experience,commit_velocity_trend,release_regularity,weekend_commit_ratio,dependency_count,language_diversity,log_active_contributors,log_pr_count_merged,log_stars,log_dependency_count,log_code_churn_normalized,log_pr_merge_time_median_h,log_issues_resolution_time_h,process_maturity,effort_distribution,ci_failure_rate,pr_per_contributor,exp_weighted_churn,contributor_productivity,review_effort_proxy
64545,0,162.68,73.28666666666666,59.45472222222222,71,0.6694,41,1.5,1,1.0,1,10.527,-2.2832,22.11,0.44,13,0.0122,4.276666119016055,3.7376696182833684,11.075133426887646,2.6390573296152584,5.097913302203317,4.307931482950798,4.101894691829817,1.0,0.3306,0.0,0.5694444444444444,1712.53236,2.2594444444444446,109.92999999999999
64035,0,213.99,5.480416666666667,98.43166666666669,407,0.3614,66,2.0,1,0.56,0,13.978,0.3217,23.4,0.03,11,0.0001,6.0112671744041615,4.204692619390966,11.067200704197985,2.4849066497880004,5.370591515418057,1.868784808708523,4.599470641062769,0.5,0.6386000000000001,0.43999999999999995,0.16176470588235295,2991.15222,0.5244852941176471,10.960833333333333
63670,0,420.56,14.679444444444444,8.381944444444445,232,0.3272,63,2.0,1,0.86,0,10.424,-8.0944,0.0,0.3,0,0.3003,5.4510384535657,4.1588830833596715,11.061484478871714,0.0,6.043962116065736,2.7523505834555726,2.2387870383841983,0.5,0.6728000000000001,0.14,0.2703862660944206,4383.91744,1.8049785407725323,29.358888888888888
63419,0,120.19,73.45680555555555,410.2198611111111,37,0.3771,22,1.0,1,0.56,1,6.623,-0.2657,10.87,0.14,95,0.3381,3.6375861597263857,3.1354942159291497,11.057534548092338,4.564348191467836,4.797359561980396,4.310219166041003,6.019128013342018,1.0,0.6229,0.43999999999999995,0.5789473684210527,796.01837,3.162894736842105,73.45680555555555
63298,2,242.6,10.445,64.98805555555555,123,0.7433,51,2.0,1,0.64,1,6.897,0.0315,15.67,0.09,60,0.0154,4.820281565605037,3.9512437185814275,11.055624810219172,4.110873864173311,5.495527535835742,2.43755295340453,4.189473749217239,1.0,0.25670000000000004,0.36,0.4112903225806452,1673.2122,1.9564516129032257,20.89
62863,0,455.24,0.7291666666666666,22.50777777777778,164,0.6148,15,2.0,1,0.98,1,7.722,-15.3427,15.28,0.02,1934,0.3538,5.10594547390058,2.772588722239781,11.048728941798242,7.5678626054638825,6.123018986848283,0.547639596888707,3.157331335659007,1.0,0.3852,0.020000000000000018,0.09090909090909091,3515.3632800000005,2.759030303030303,1.4583333333333333
62249,40,11.89,38.09986111111111,770.6054166666667,36,0.3758,50,1.5,1,0.3793,0,9.461,0.0035,0.0,0.26,4,0.0465,3.6109179126442243,3.9318256327243257,11.038913814326953,1.6094379124341003,2.556451816951096,3.6661189148395152,6.648473301051862,0.5,0.6242,0.6207,1.3513513513513513,112.49129,0.32135135135135134,57.149791666666665
61605,20,24.24,5.876666666666667,2018.0783333333327,80,0.6346,39,1.0,1,1.0,0,10.299,0.8322,0.0,0.43,0,0.0498,4.394449154672439,3.6888794541139363,11.02851454737569,0.0,3.228430037673012,1.9281340384150507,7.610396415645072,0.5,0.36539999999999995,0.0,0.48148148148148145,249.64775999999998,0.2992592592592592,5.876666666666667
61445,0,137.26,7.36375,60.95916666666667,373,0.2119,52,1.0,1,0.48,1,16.146,0.4126,62.31,0.01,236,0.0053,5.924255797414532,3.970291913552122,11.025914019303492,5.4680601411351315,4.929135970517119,2.1239068911148897,4.126475565920886,1.0,0.7881,0.52,0.13903743315508021,2216.19996,0.3670053475935829,7.36375
61104,0,477.97,0.5052777777777777,5.177638888888889,72,0.9094,24,1.0,1,0.96,1,10.807,5.8182,10.59,0.0,86,0.0072,4.290459441148391,3.2188758248682006,11.020348974872102,4.465908118654584,6.171637964969378,0.4089774511219128,1.8209361416532046,1.0,0.09060000000000001,0.040000000000000036,0.3287671232876712,5165.42179,6.547534246575343,0.5052777777777777
